Employee_ID,Name,Department,Location,Start_Date,Security_Training,Tool_Access,Role_Training,Compliance,Orientation,Buddy_Assigned,Manager_Feedback_Score,Employee_Satisfaction_Score
24,Dr. Margaret Smith,Marketing,Delhi,2025-05-28,Completed,Pending,Completed,Completed,Pending,Yes,2,4
25,Rebecca Torres,HR,Delhi,2025-06-03,Completed,Completed,Pending,Pending,Pending,Yes,3,10
26,Katrina Perez,Product,Remote,2025-07-15,Completed,Pending,Pending,Completed,Completed,Yes,3,7
27,Daniel Foley,Marketing,Mumbai,2025-06-05,Pending,Pending,Completed,Pending,Completed,No,4,8
28,Gary Christian,Product,Hyderabad,2025-05-30,Pending,Pending,Pending,Pending,Pending,No,3,4
29,Joseph Greene,Product,Hyderabad,2025-05-11,Pending,Completed,Pending,Completed,Completed,Yes,4,3
30,Annette Jackson,Design,Delhi,2025-07-14,Completed,Completed,Pending,Pending,Pending,Yes,5,10
31,Edward Cooper,HR,Hyderabad,2025-07-12,Pending,Pending,Pending,Completed,Completed,No,3,9
32,Michael Wheeler,Design,Mumbai,2025-05-01,Completed,Pending,Pending,Pending,Completed,Yes,5,4
33,Molly Church,HR,Remote,2025-06-27,Pending,Pending,Completed,Pending,Pending,Yes,2,7
34,Rick Brown,Engineering,Bangalore,2025-05-01,Pending,Completed,Pending,Completed,Pending,Yes,3,10
35,Wendy Walters,Design,Delhi,2025-07-06,Pending,Completed,Pending,Completed,Pending,Yes,5,10
36,Shane Duran,Engineering,Mumbai,2025-05-10,Completed,Completed,Completed,Completed,Pending,Yes,2,1
37,Barbara Rivera,HR,Mumbai,2025-06-27,Pending,Pending,Completed,Completed,Pending,No,1,4
38,Brooke Lee,Product,Bangalore,2025-05-17,Pending,Completed,Completed,Completed,Completed,Yes,2,9
39,Megan Conner,Engineering,Delhi,2025-05-06,Completed,Completed,Pending,Pending,Completed,No,1,5
40,Kevin Byrd,Marketing,Delhi,2025-06-14,Completed,Pending,Pending,Completed,Pending,Yes,4,8
41,Cheryl Allen,Marketing,Mumbai,2025-07-12,Completed,Completed,Completed,Completed,Pending,Yes,1,2
42,Todd Anderson,Marketing,Mumbai,2025-07-06,Pending,Completed,Completed,Pending,Completed,No,5,8
43,James Murphy,HR,Remote,2025-06-17,Pending,Completed,Completed,Completed,Pending,No,1,3
44,Spencer Wallace,Marketing,Bangalore,2025-05-05,Completed,Completed,Pending,Completed,Pending,Yes,1,3
45,Tyler West,Product,Mumbai,2025-07-07,Pending,Completed,Completed,Completed,Pending,Yes,1,6
46,Mike Owens,Product,Remote,2025-07-11,Completed,Pending,Completed,Pending,Completed,Yes,5,10
47,Victoria Griffin,Engineering,Delhi,2025-06-19,Completed,Pending,Completed,Completed,Completed,Yes,4,3
48,Matthew Collins,Engineering,Delhi,2025-05-03,Pending,Completed,Pending,Pending,Pending,No,3,9
49,Carmen Garcia,Product,Mumbai,2025-05-27,Completed,Pending,Completed,Pending,Completed,Yes,3,1
50,Nicolas Vargas,Engineering,Bangalore,2025-06-22,Pending,Completed,Pending,Pending,Completed,Yes,3,1
51,Jose Rodriguez,HR,Hyderabad,2025-05-13,Pending,Pending,Pending,Pending,Pending,Yes,4,8
52,Daniel Gray,HR,Bangalore,2025-05-04,Pending,Pending,Pending,Completed,Completed,No,5,5
53,Jeffrey Bryan,Design,Hyderabad,2025-07-06,Completed,Pending,Pending,Pending,Pending,No,2,3
54,Patricia Schroeder,Marketing,Hyderabad,2025-07-01,Completed,Completed,Pending,Pending,Completed,No,4,1
55,Teresa Walls,Design,Hyderabad,2025-06-09,Pending,Pending,Pending,Pending,Pending,Yes,1,9
56,James Shepherd,Marketing,Hyderabad,2025-06-25,Completed,Pending,Completed,Completed,Completed,Yes,3,3
57,Kara Arroyo,Marketing,Delhi,2025-07-12,Pending,Completed,Completed,Pending,Completed,Yes,5,10
58,Jennifer Lewis,Design,Bangalore,2025-07-01,Pending,Completed,Completed,Completed,Pending,No,2,2
59,Ashley Robinson,HR,Hyderabad,2025-06-18,Pending,Pending,Pending,Pending,Pending,Yes,3,1
60,Tamara Tran,Product,Bangalore,2025-07-08,Completed,Pending,Completed,Pending,Pending,No,4,2
61,Lori Newman,Design,Delhi,2025-05-08,Completed,Completed,Pending,Completed,Pending,Yes,4,1
62,Catherine Gregory,Marketing,Remote,2025-06-27,Completed,Completed,Completed,Completed,Pending,Yes,3,8
63,Veronica Williams,Engineering,Hyderabad,2025-05-25,Pending,Pending,Completed,Pending,Completed,No,2,7
64,David Palmer,Marketing,Bangalore,2025-06-24,Pending,Completed,Pending,Pending,Pending,No,1,7
65,Katherine Brown,Product,Delhi,2025-07-07,Completed,Pending,Pending,Pending,Completed,No,2,7
66,Kenneth Jones,Marketing,Delhi,2025-06-15,Completed,Completed,Completed,Pending,Pending,No,4,5
67,Jake Alvarez,Design,Hyderabad,2025-05-30,Completed,Completed,Completed,Completed,Pending,No,2,2
68,Joseph Waller,Marketing,Remote,2025-05-04,Pending,Pending,Completed,Completed,Pending,No,2,1
69,Sherry Chan,Engineering,Hyderabad,2025-05-07,Completed,Completed,Pending,Pending,Pending,Yes,4,6
70,Curtis Rodriguez,Engineering,Bangalore,2025-07-09,Completed,Pending,Completed,Completed,Pending,Yes,2,2
71,Mark Chandler,Product,Mumbai,2025-07-10,Completed,Completed,Completed,Pending,Pending,Yes,2,8
72,Thomas Graham,Design,Hyderabad,2025-07-10,Pending,Completed,Pending,Completed,Pending,No,3,6
73,Daniel Carlson,Design,Bangalore,2025-07-08,Completed,Completed,Completed,Completed,Pending,Yes,1,2
74,William Shepherd,Product,Delhi,2025-05-16,Completed,Pending,Pending,Completed,Completed,Yes,1,2
75,Andrew Foster,Engineering,Mumbai,2025-05-08,Completed,Pending,Completed,Completed,Pending,Yes,4,7
76,Amy Shaw,Engineering,Mumbai,2025-05-14,Pending,Completed,Pending,Completed,Completed,Yes,5,3
77,Rhonda Miller,Design,Mumbai,2025-07-03,Pending,Pending,Pending,Completed,Completed,No,2,9
78,Pamela Boyd,Design,Mumbai,2025-07-03,Pending,Pending,Pending,Completed,Pending,Yes,1,10
79,Timothy Brown,Marketing,Bangalore,2025-06-05,Pending,Completed,Pending,Completed,Pending,Yes,2,3
80,Patricia Williams,HR,Bangalore,2025-07-06,Completed,Completed,Completed,Pending,Completed,Yes,4,2
81,Michelle Wilkerson,Marketing,Remote,2025-06-29,Completed,Pending,Pending,Completed,Completed,Yes,5,7
82,Thomas Green,HR,Delhi,2025-05-01,Pending,Pending,Pending,Completed,Completed,No,2,10
83,Alicia Gross,Engineering,Hyderabad,2025-06-10,Completed,Pending,Pending,Completed,Completed,No,4,6
84,Angela Richardson,HR,Mumbai,2025-06-15,Pending,Completed,Completed,Completed,Pending,Yes,5,4
85,Jo Moss,Marketing,Delhi,2025-06-29,Pending,Completed,Pending,Completed,Pending,No,5,9
86,Ronald Anderson,Product,Hyderabad,2025-05-16,Completed,Completed,Completed,Completed,Completed,No,3,7
87,Mason Fields,HR,Mumbai,2025-05-15,Completed,Pending,Completed,Pending,Completed,Yes,2,1
88,Juan Erickson,Design,Hyderabad,2025-05-28,Pending,Completed,Completed,Completed,Completed,No,5,8
89,Clifford Love,Design,Remote,2025-06-12,Pending,Completed,Pending,Completed,Completed,No,5,5
90,Steven Allen,Marketing,Mumbai,2025-07-09,Pending,Pending,Completed,Pending,Pending,No,3,3
91,Joshua Stevenson,Product,Delhi,2025-06-20,Completed,Pending,Completed,Pending,Completed,Yes,2,1
92,Peter Lopez,Design,Remote,2025-06-10,Pending,Pending,Completed,Completed,Pending,No,1,7
93,April Smith,Product,Hyderabad,2025-05-27,Pending,Pending,Pending,Pending,Pending,No,1,2
94,Christopher Barber,Marketing,Remote,2025-05-22,Completed,Completed,Completed,Completed,Pending,No,2,3
95,Karen Roach,Design,Bangalore,2025-05-15,Pending,Pending,Pending,Pending,Completed,No,3,5
96,Lucas Flowers,Engineering,Delhi,2025-07-15,Completed,Pending,Pending,Completed,Pending,No,5,1
97,Tina Burgess,HR,Bangalore,2025-06-27,Completed,Completed,Completed,Pending,Pending,Yes,1,2
98,Anita Sutton,HR,Delhi,2025-07-01,Pending,Completed,Completed,Pending,Pending,Yes,2,10
99,Dr. Matthew Stevenson,Marketing,Mumbai,2025-05-12,Pending,Completed,Completed,Completed,Pending,No,3,7
100,Melissa Howard,Design,Bangalore,2025-05-12,Completed,Completed,Completed,Pending,Completed,Yes,3,3
101,Katrina Sanchez,Engineering,Hyderabad,2025-06-22,Completed,Completed,Pending,Completed,Pending,No,4,3
102,Nicole Clayton,Product,Hyderabad,2025-05-14,Pending,Pending,Completed,Completed,Pending,Yes,3,1
103,Matthew Adams,Engineering,Mumbai,2025-07-11,Completed,Pending,Pending,Pending,Pending,No,3,7
104,Jason Mahoney,HR,Bangalore,2025-05-11,Pending,Pending,Completed,Completed,Completed,Yes,4,6
105,Tammy Dominguez,Product,Bangalore,2025-07-09,Completed,Completed,Pending,Pending,Completed,No,1,2
106,Michael Johnson,Product,Bangalore,2025-06-08,Pending,Pending,Pending,Pending,Pending,No,1,2
107,Richard Garrett,HR,Delhi,2025-05-26,Pending,Pending,Completed,Pending,Pending,Yes,4,3
108,Madeline Morrow,Design,Mumbai,2025-05-23,Pending,Pending,Pending,Completed,Pending,Yes,5,9
109,Ashley Peterson,Engineering,Mumbai,2025-05-21,Completed,Completed,Pending,Pending,Completed,No,5,4
110,Zachary Vasquez,Engineering,Mumbai,2025-06-16,Pending,Completed,Pending,Pending,Pending,Yes,5,6
111,Jeff Smith,Marketing,Remote,2025-05-31,Pending,Completed,Completed,Pending,Pending,No,5,6
112,Sandra Martinez,Product,Delhi,2025-06-01,Completed,Completed,Completed,Pending,Pending,No,2,3
113,Kimberly Jones,HR,Hyderabad,2025-05-05,Completed,Completed,Completed,Pending,Completed,Yes,5,7
114,Rachael Mccullough,HR,Remote,2025-05-29,Completed,Completed,Completed,Completed,Pending,Yes,1,9
115,Samantha Taylor,Engineering,Hyderabad,2025-06-14,Completed,Completed,Pending,Pending,Pending,No,5,5
116,Miss Nicole Walker,Marketing,Mumbai,2025-06-05,Completed,Pending,Pending,Pending,Pending,Yes,3,1
117,John Bailey,HR,Hyderabad,2025-05-12,Pending,Pending,Completed,Pending,Pending,No,3,8
118,Shane Mitchell,Engineering,Bangalore,2025-05-21,Completed,Pending,Completed,Pending,Completed,Yes,2,7
119,Daniel Reynolds,Product,Hyderabad,2025-05-21,Pending,Pending,Completed,Completed,Completed,Yes,2,5
120,Caitlin Griffin,Design,Mumbai,2025-05-02,Pending,Completed,Pending,Pending,Completed,Yes,5,10
121,Luis Odonnell,Engineering,Hyderabad,2025-05-25,Completed,Completed,Pending,Pending,Completed,No,1,8
122,William Howard,Engineering,Hyderabad,2025-06-12,Pending,Completed,Completed,Completed,Completed,Yes,4,7
123,Edward Alexander MD,HR,Delhi,2025-06-26,Completed,Pending,Completed,Pending,Completed,Yes,4,8
124,William Lane,Product,Delhi,2025-06-29,Completed,Pending,Completed,Completed,Pending,Yes,3,1
125,Jonathan Smith,Marketing,Mumbai,2025-06-03,Completed,Pending,Completed,Pending,Completed,No,3,1
126,Leah Pierce,Design,Remote,2025-05-02,Pending,Pending,Pending,Completed,Completed,Yes,3,4
127,David Richards,Design,Bangalore,2025-06-13,Pending,Completed,Pending,Pending,Pending,Yes,5,6
128,Roger Rogers,Product,Delhi,2025-06-20,Completed,Completed,Completed,Pending,Pending,Yes,2,5
129,Amy Ramirez,Product,Hyderabad,2025-05-14,Completed,Completed,Completed,Pending,Completed,Yes,1,1
130,Angel Kennedy,Engineering,Delhi,2025-05-03,Completed,Pending,Completed,Pending,Completed,No,3,6
131,Shawn Porter,HR,Mumbai,2025-05-01,Pending,Completed,Completed,Completed,Pending,No,3,2
132,Justin Cervantes,Marketing,Mumbai,2025-06-03,Completed,Pending,Completed,Completed,Pending,Yes,5,3
133,Douglas Osborne,Engineering,Mumbai,2025-07-09,Completed,Completed,Pending,Pending,Completed,No,3,3
134,Kathleen Rush,Product,Hyderabad,2025-06-17,Pending,Pending,Completed,Pending,Completed,No,4,1
135,Jonathan Roth,Engineering,Bangalore,2025-05-21,Completed,Pending,Completed,Completed,Pending,Yes,4,9
136,Charles Price,Product,Delhi,2025-06-05,Completed,Pending,Completed,Completed,Pending,Yes,1,3
137,Kevin Brown,Product,Delhi,2025-06-08,Pending,Completed,Completed,Pending,Pending,No,4,4
138,Timothy Lewis,Product,Mumbai,2025-07-04,Completed,Pending,Completed,Completed,Pending,No,3,4
139,Elizabeth Johnson,Design,Hyderabad,2025-07-05,Pending,Completed,Pending,Completed,Pending,No,3,4
140,Danny Williams,Engineering,Delhi,2025-05-19,Pending,Completed,Pending,Pending,Completed,Yes,4,7
141,Michelle Ferguson,Engineering,Remote,2025-07-04,Completed,Pending,Completed,Completed,Pending,No,2,6
142,James Larsen,Engineering,Bangalore,2025-05-03,Pending,Completed,Pending,Pending,Pending,No,5,10
143,Courtney Mcdonald,Product,Hyderabad,2025-05-22,Completed,Completed,Pending,Completed,Completed,Yes,5,4
144,Brian Tucker,Product,Remote,2025-06-23,Pending,Pending,Completed,Pending,Pending,Yes,3,6
145,Matthew Sanders,Product,Mumbai,2025-06-18,Pending,Pending,Completed,Completed,Completed,No,1,6
146,Erica Kelly,Product,Bangalore,2025-05-08,Completed,Pending,Pending,Pending,Completed,Yes,4,3
147,Ricky Knox,HR,Remote,2025-06-30,Pending,Pending,Completed,Completed,Pending,Yes,3,3
148,Christian Chapman,HR,Hyderabad,2025-07-13,Pending,Completed,Pending,Pending,Completed,Yes,1,6
149,Emily Walton,Product,Bangalore,2025-05-15,Completed,Pending,Pending,Pending,Pending,Yes,1,7
150,Julie West,Design,Mumbai,2025-06-19,Pending,Pending,Pending,Pending,Completed,No,4,6
151,Mrs. Madeline Stone,HR,Delhi,2025-05-27,Completed,Pending,Pending,Completed,Pending,No,4,3
152,John Soto,Marketing,Remote,2025-05-12,Completed,Pending,Pending,Completed,Completed,No,2,5
153,Cathy White,Design,Hyderabad,2025-06-27,Completed,Pending,Completed,Pending,Completed,Yes,4,5
154,Kimberly Moreno,Design,Remote,2025-06-10,Pending,Completed,Pending,Pending,Pending,Yes,4,10
155,Desiree Barnett,Marketing,Hyderabad,2025-06-26,Completed,Pending,Completed,Pending,Completed,Yes,5,5
156,Julia Thomas,Marketing,Bangalore,2025-06-04,Pending,Completed,Completed,Pending,Completed,No,3,2
157,Karen Thornton,HR,Bangalore,2025-05-02,Completed,Completed,Pending,Pending,Pending,Yes,3,7
158,Joshua Torres,Engineering,Mumbai,2025-06-16,Completed,Pending,Completed,Pending,Completed,Yes,3,7
159,Nicholas Johnson,HR,Bangalore,2025-07-03,Pending,Completed,Pending,Pending,Completed,Yes,5,3
160,Carlos Robinson,Design,Bangalore,2025-05-31,Pending,Pending,Pending,Pending,Pending,No,1,10
161,Tony Lee,Design,Mumbai,2025-07-06,Pending,Completed,Completed,Completed,Completed,No,2,4
162,Jenny Miller,Product,Remote,2025-06-22,Completed,Completed,Pending,Pending,Pending,Yes,2,1
163,Tammy Taylor,HR,Remote,2025-05-01,Pending,Completed,Pending,Completed,Completed,No,5,10
164,Joseph Green,Product,Delhi,2025-06-29,Pending,Completed,Completed,Pending,Pending,Yes,5,10
165,Danielle Alvarado,HR,Bangalore,2025-05-29,Pending,Completed,Pending,Completed,Completed,No,4,3
166,Dr. Rodney Martinez,Engineering,Delhi,2025-07-08,Pending,Completed,Pending,Pending,Pending,No,1,2
167,James Moody,Product,Mumbai,2025-06-29,Completed,Pending,Completed,Pending,Completed,No,4,6
168,Sarah Sullivan,HR,Hyderabad,2025-05-21,Pending,Pending,Completed,Pending,Pending,Yes,3,4
169,Dr. April Decker,Design,Mumbai,2025-05-05,Completed,Completed,Completed,Pending,Completed,No,1,3
170,Paula Fleming,Design,Delhi,2025-07-12,Completed,Pending,Completed,Pending,Pending,Yes,4,6
171,David Branch,Design,Mumbai,2025-07-10,Pending,Completed,Completed,Pending,Pending,No,2,9
172,Michael Rivera,Marketing,Remote,2025-05-14,Completed,Pending,Pending,Completed,Completed,No,4,9
173,Alan Weaver,Product,Remote,2025-06-03,Pending,Completed,Pending,Completed,Pending,Yes,4,7
174,Mr. Daniel Lin Jr.,Engineering,Delhi,2025-06-10,Pending,Pending,Pending,Pending,Completed,No,2,8
175,Mr. Nicholas Wall,HR,Bangalore,2025-06-29,Pending,Pending,Pending,Completed,Pending,No,3,5
176,Richard Griffin,Product,Remote,2025-05-29,Pending,Completed,Completed,Pending,Pending,Yes,2,7
177,Mrs. Meredith Moore,Design,Bangalore,2025-05-03,Pending,Pending,Pending,Pending,Pending,Yes,2,1
178,Roberto Gomez,Marketing,Hyderabad,2025-05-20,Pending,Completed,Completed,Pending,Pending,Yes,3,6
179,Dr. Jesse Alvarez MD,Marketing,Delhi,2025-07-08,Completed,Completed,Completed,Completed,Completed,No,3,10
180,Scott Jensen,HR,Mumbai,2025-07-15,Completed,Pending,Pending,Completed,Pending,Yes,2,3
181,Melissa Mills,HR,Hyderabad,2025-05-25,Pending,Completed,Pending,Completed,Completed,No,5,3
182,Alexandra Williams,Engineering,Hyderabad,2025-05-22,Pending,Completed,Completed,Completed,Pending,Yes,3,7
183,Taylor Andrade,HR,Delhi,2025-05-01,Pending,Pending,Completed,Pending,Pending,No,2,6
184,Chelsey French,HR,Delhi,2025-07-04,Pending,Pending,Pending,Completed,Pending,No,1,6
185,Elizabeth Sullivan,Marketing,Hyderabad,2025-05-05,Pending,Pending,Pending,Pending,Pending,No,2,7
186,David Cobb,Design,Mumbai,2025-06-09,Pending,Completed,Completed,Pending,Pending,No,3,8
187,Douglas Herrera,Product,Remote,2025-05-04,Completed,Pending,Pending,Pending,Completed,No,1,6
188,Justin Williams,HR,Bangalore,2025-07-06,Completed,Pending,Completed,Pending,Completed,Yes,1,2
189,Charles Gardner,Marketing,Delhi,2025-07-03,Pending,Pending,Completed,Completed,Completed,No,3,3
190,Steven Yates,Design,Bangalore,2025-06-12,Completed,Pending,Completed,Pending,Pending,Yes,5,5
191,Thomas Sanchez,HR,Hyderabad,2025-06-11,Pending,Completed,Completed,Pending,Pending,No,5,1
192,Stephen Shaffer,Design,Mumbai,2025-07-14,Pending,Completed,Pending,Completed,Pending,No,2,7
193,Ashley Smith,Design,Delhi,2025-05-10,Completed,Completed,Pending,Completed,Completed,Yes,2,8
194,Emily Griffin,Design,Remote,2025-05-05,Pending,Completed,Completed,Pending,Pending,No,3,10
195,Michael Wright,HR,Bangalore,2025-07-04,Completed,Pending,Completed,Pending,Pending,Yes,4,3
196,Jeffrey Gray,Product,Mumbai,2025-06-11,Completed,Completed,Completed,Pending,Pending,No,5,2
197,Kaitlyn Savage,Product,Remote,2025-06-18,Completed,Pending,Pending,Completed,Pending,No,2,7
198,Todd Zimmerman,HR,Hyderabad,2025-07-12,Completed,Pending,Completed,Completed,Completed,No,1,7
199,Patricia James,Engineering,Delhi,2025-05-19,Completed,Completed,Completed,Completed,Completed,Yes,1,2
200,Darrell Fox,Marketing,Remote,2025-07-03,Pending,Completed,Pending,Completed,Pending,No,3,5
